Number,Project,Number,Status Date,Overall health,Functions on board,Solution,Resources,Risks on prod,Ok for Launch,Handover,Close and learn,GR1,GR2a,GR2b,GR3,GR4,Last WAR,WAR Tweet
PRJSTAT0075388,NAO FAS Supplier Consignment Project,PRJ0075325,6/6/2025,Green,,,,,,,,,,,,,VERDADERO,"Go live was May 7. Awaiting 1st consignment flow on WK23: reception, unconsignment & invoicing."
PRJSTAT0075383,FCS -FIS - Blue Springs - EWM Deployment,PRJ0074465,6/6/2025,Green,,,,,,,,100,100,0,0,0,VERDADERO,No Major Blocking points Identified in UAT
PRJSTAT0075363,Xian BYD FAS DMC project deployment,PRJ0075363,6/6/2025,Green,,,,,,,,96,0,0,0,0,VERDADERO,OK
PRJSTAT0075361,Changzhou FIS 2679 FCS migration,PRJ0075248,6/6/2025,Green,Green,Green,Green,Green,Green,Green,Green,,,,,,VERDADERO,pending by business side.
PRJSTAT0075364,Zhengzhou BYD FAS DMC project deployment,PRJ0075167,6/6/2025,Green,,,,,,,,96,93,100,96,0,VERDADERO,OK
PRJSTAT0075378,Kisters AZURE platform,PRJ0073486,6/6/2025,Green,,,,,,,,,,,,,VERDADERO,3DWebviewer 2025.3  UAT in progress - VPN Hella  issue solved - Reduce cost request
PRJSTAT0075366,NEO/PREACTOR - FCM - TERNI,PRJ0073500,6/6/2025,Green,,,,,,,,100,100,100,100,76,VERDADERO,Pending PROCS-NEO Interface (FCM)
PRJSTAT0075391,FCS - GROUP - WW - IT Consignment Deployment,PRJ0075002,6/6/2025,Green,,,,,,,,,,,,,VERDADERO,FIS EMEA: 4 new kick-off on 6-Jun
PRJSTAT0075373,Jinhua FAS creation Infra project,PRJ0075109,6/6/2025,Green,Green,Green,Green,Green,Green,Green,,0,0,0,0,0,VERDADERO,Ongoing
PRJSTAT0075384,Connector ProMISE - PLM4FCE,PRJ0074311,6/6/2025,Yellow,Green,Green,Yellow,Green,Green,,,,,,,,VERDADERO,Communication pending about ProMISE governance decision on 15th May to stop Interface ProMISE - PLM4FCE activities
