Region,Tablero,CW,Value
ASIA,GoNogo,CW41,0.0
EMEA,GoNogo,CW41,0.43
NAO,GoNogo,CW41,0.43
SAO,GoNogo,CW41,0.0
WW,GoNogo,CW41,0.0
ASIA,GoNogo,CW45,0.0
EMEA,GoNogo,CW45,0.3
NAO,GoNogo,CW45,0.35294117647058826
SAO,GoNogo,CW45,0.0
WW,GoNogo,CW45,0.0
ASIA,GoNogo,CW49,0.0
EMEA,GoNogo,CW49,0.3
NAO,GoNogo,CW49,0.3157894736842105
SAO,GoNogo,CW49,0.0
WW,GoNogo,CW49,0.0
ASIA,GoNogo,CW03,0.0
EMEA,GoNogo,CW03,0.25
NAO,GoNogo,CW03,0.35294117647058826
SAO,GoNogo,CW03,0.0
WW,GoNogo,CW03,0.0
ASIA,GoNogo,CW06,0.0
EMEA,GoNogo,CW06,0.0
NAO,GoNogo,CW06,0.13
SAO,GoNogo,CW06,0.0
WW,GoNogo,CW06,0.0
ASIA,GoNogo,CW10,0.33
EMEA,GoNogo,CW10,0.52
NAO,GoNogo,CW10,0.0
SAO,GoNogo,CW10,0.0
WW,GoNogo,CW10,0.0
ASIA,GoNogo,CW15,0.0
EMEA,GoNogo,CW15,0.38461538461538464
NAO,GoNogo,CW15,0.18181818181818182
SAO,GoNogo,CW15,0.0
WW,GoNogo,CW15,0.0
ASIA,GoNogo,CW19,0.0
EMEA,GoNogo,CW19,0.4
NAO,GoNogo,CW19,0.1
SAO,GoNogo,CW19,0.5
WW,GoNogo,CW19,0.0
ASIA,GoNogo,CW23,0.0
EMEA,GoNogo,CW23,0.33
NAO,GoNogo,CW23,0.2
SAO,GoNogo,CW23,0.25
WW,GoNogo,CW23,0.0
