Month,Total projects delay more than 30 days,% of projects on time ( < 30 days delay),Total Projects went live,Target 80%
May/22,5,71%,17,80%
 Jun/22,11,58%,26,80%
 Jul/22,6,70%,20,80%
Aug/22,6,50%,12,80%
Sep/22,12,33%,18,80%
Oct/22,7,46%,13,80%
 Nov/22,11,15%,13,80%
Dec/22,16,30%,23,80%
Jan/23,5,71%,17,80%
Feb/23,14,26%,19,80%
Mar/23,11,39%,18,80%
Apr/23,7,46%,13,80%
May/23,12,25%,16,80%
Jun/23,12,37%,19,80%
Jul/23,13,24%,17,80%
Aug/23,7,46%,13,80%
Sep/23,11,27%,15,80%
Oct/23,11,39%,18,80%
Nov/23,16,36%,25,80%
Dec/23,17,35%,26,80%
Jan/24,11,39%,18,80%
Feb/24,12,14%,14,80%
Mar/24,15,38%,24,80%
Apr/24,12,14%,14,80%
May/24,13,19%,16,80%
Jun/24,13,46%,24,80%
Jul/24,17,32%,25,80%
Aug/24,16,33%,24,80%
Sep/24,11,42%,19,80%
Oct/24,15,53%,32,80%
Nov/24,11,58%,26,80%
Dec/24,10,69%,32,80%
Jan/25,16,50%,32,80%
Feb/25,17,47%,32,80%
Mar/25,13,48%,25,80%
Apr/25,11,56%,25,80%
May/25,12,43%,21,80%
