Region,Tablero,CW,Value
ASIA,Closed,CW41,-19.0
EMEA,Closed,CW41,3.0
NAO,Closed,CW41,25.0
SAO,Closed,CW41,5.0
WW,Closed,CW41,-1.0
Total,Closed,CW41,4.0
Target,Closed,CW41,50.0
ASIA,Open,CW41,0.0
EMEA,Open,CW41,57.0
NAO,Open,CW41,43.0
SAO,Open,CW41,0.0
WW,Open,CW41,290.0
Total,Open,CW41,128.0
Target,Open,CW41,50.0
ASIA,Closed,CW45,-12.307692307692308
EMEA,Closed,CW45,2.5483870967741935
NAO,Closed,CW45,20.25
SAO,Closed,CW45,5.0
WW,Closed,CW45,11.1
Total,Closed,CW45,5.0
Target,Closed,CW45,50.0
ASIA,Open,CW45,0.0
EMEA,Open,CW45,25.5
NAO,Open,CW45,95.75
SAO,Open,CW45,0.0
WW,Open,CW45,340.6
Total,Open,CW45,123.0
Target,Open,CW45,50.0
ASIA,Closed,CW49,-12.0
EMEA,Closed,CW49,9.0
NAO,Closed,CW49,16.0
SAO,Closed,CW49,14.0
WW,Closed,CW49,9.0
Total,Closed,CW49,8.0
Target,Closed,CW49,50.0
ASIA,Open,CW49,0.0
EMEA,Open,CW49,46.0
NAO,Open,CW49,140.0
SAO,Open,CW49,0.0
WW,Open,CW49,312.0
Total,Open,CW49,135.0
Target,Open,CW49,50.0
ASIA,Closed,CW03,-10.0
EMEA,Closed,CW03,9.0
NAO,Closed,CW03,11.0
SAO,Closed,CW03,14.0
WW,Closed,CW03,12.0
Total,Closed,CW03,7.0
Target,Closed,CW03,50.0
ASIA,Open,CW03,0.0
EMEA,Open,CW03,129.0
NAO,Open,CW03,77.0
SAO,Open,CW03,0.0
WW,Open,CW03,182.0
Total,Open,CW03,120.0
Target,Open,CW03,50.0
ASIA,Closed,CW06,-9.0
EMEA,Closed,CW06,3.0
NAO,Closed,CW06,27.0
SAO,Closed,CW06,3.0
WW,Closed,CW06,9.0
Total,Closed,CW06,7.0
Target,Closed,CW06,50.0
ASIA,Open,CW06,0.0
EMEA,Open,CW06,108.0
NAO,Open,CW06,41.0
SAO,Open,CW06,13.0
WW,Open,CW06,19.0
Total,Open,CW06,58.0
Target,Open,CW06,50.0
ASIA,Closed,CW10,-10.333333333333334
EMEA,Closed,CW10,1.5333333333333334
NAO,Closed,CW10,44.53333333333333
SAO,Closed,CW10,2.0
WW,Closed,CW10,13.0
Total,Closed,CW10,10.0
Target,Closed,CW10,50.0
ASIA,Open,CW10,13.0
EMEA,Open,CW10,43.0
NAO,Open,CW10,67.0
SAO,Open,CW10,0.0
WW,Open,CW10,311.1666666666667
Total,Open,CW10,170.0
Target,Open,CW10,50.0
ASIA,Closed,CW15,-10.411764705882353
EMEA,Closed,CW15,-4.966666666666667
NAO,Closed,CW15,52.61538461538461
SAO,Closed,CW15,1.0
WW,Closed,CW15,8.88888888888889
Total,Closed,CW15,6.0
Target,Closed,CW15,50.0
ASIA,Open,CW15,0.0
EMEA,Open,CW15,27.25
NAO,Open,CW15,41.125
SAO,Open,CW15,0.0
WW,Open,CW15,395.4
Total,Open,CW15,120.0
Target,Open,CW15,50.0
ASIA,Closed,CW19,-12.0
EMEA,Closed,CW19,-5.0
NAO,Closed,CW19,55.0
SAO,Closed,CW19,1.0
WW,Closed,CW19,2.0
Total,Closed,CW19,7.0
Target,Closed,CW19,50.0
ASIA,Open,CW19,0.0
EMEA,Open,CW19,47.0
NAO,Open,CW19,54.0
SAO,Open,CW19,0.0
WW,Open,CW19,412.0
Total,Open,CW19,142.0
Target,Open,CW19,50.0
ASIA,Closed,CW23,-1.0
EMEA,Closed,CW23,0.0
NAO,Closed,CW23,31.0
SAO,Closed,CW23,-13.0
WW,Closed,CW23,4.0
Total,Closed,CW23,5.0
Target,Closed,CW23,50.0
ASIA,Open,CW23,0.0
EMEA,Open,CW23,60.0
NAO,Open,CW23,44.0
SAO,Open,CW23,13.0
WW,Open,CW23,545.0
Total,Open,CW23,170.0
Target,Open,CW23,50.0
